model,seed,cond,dataset,cell,n_correct,n_total,cs_margin
hgt,44,drop_sem,matrix,Benign/json_field,10,10,
hgt,44,drop_sem,matrix,SQLi/sql_new_commands,10,10,
hgt,44,drop_sem,matrix,SQLi/comment_splitting,0,10,-2.787198543548584
hgt,44,drop_sem,matrix,SQLi/case_mixing,0,10,
hgt,44,drop_sem,matrix,XSS/data_uri_base64,10,10,
hgt,44,drop_sem,matrix,XSS/event_handler_focus,10,10,
hgt,44,drop_sem,matrix,XSS/svg_script_variant,10,10,
hgt,44,drop_sem,test_split,all,4209,4215,
hgt,44,drop_skip,matrix,Benign/field_query,0,10,
hgt,44,drop_skip,matrix,Benign/header_field,0,10,
hgt,44,drop_skip,matrix,Benign/json_field,0,10,
hgt,44,drop_skip,matrix,SQLi/sql_new_commands,0,10,
hgt,44,drop_skip,matrix,SQLi/comment_splitting,10,10,0.7159126400947571
hgt,44,drop_skip,matrix,SQLi/case_mixing,10,10,
hgt,44,drop_skip,matrix,XSS/data_uri_base64,10,10,
hgt,44,drop_skip,matrix,XSS/event_handler_focus,10,10,
hgt,44,drop_skip,matrix,XSS/svg_script_variant,10,10,
hgt,44,drop_skip,test_split,all,2265,4215,
hgt,44,drop_seq,matrix,Benign/field_query,10,10,
hgt,44,drop_seq,matrix,Benign/header_field,10,10,
hgt,44,drop_seq,matrix,Benign/json_field,10,10,
hgt,44,drop_seq,matrix,SQLi/sql_new_commands,0,10,
hgt,44,drop_seq,matrix,SQLi/comment_splitting,10,10,1.5980474948883057
hgt,44,drop_seq,matrix,SQLi/case_mixing,10,10,
hgt,44,drop_seq,matrix,XSS/data_uri_base64,0,10,
hgt,44,drop_seq,matrix,XSS/event_handler_focus,10,10,
hgt,44,drop_seq,matrix,XSS/svg_script_variant,10,10,
hgt,44,drop_seq,test_split,all,4210,4215,
hgt,45,real,matrix,Benign/field_query,10,10,
hgt,45,real,matrix,Benign/header_field,10,10,
hgt,45,real,matrix,Benign/json_field,10,10,
hgt,45,real,matrix,SQLi/sql_new_commands,10,10,
hgt,45,real,matrix,SQLi/comment_splitting,10,10,5.666533470153809
hgt,45,real,matrix,SQLi/case_mixing,10,10,
hgt,45,real,matrix,XSS/data_uri_base64,10,10,
hgt,45,real,matrix,XSS/event_handler_focus,10,10,
hgt,45,real,matrix,XSS/svg_script_variant,10,10,
hgt,45,real,test_split,all,4214,4215,
hgt,45,all_seq,matrix,Benign/field_query,0,10,
hgt,45,all_seq,matrix,Benign/header_field,0,10,
hgt,45,all_seq,matrix,Benign/json_field,10,10,
hgt,45,all_seq,matrix,SQLi/sql_new_commands,0,10,
hgt,45,all_seq,matrix,SQLi/comment_splitting,0,10,-8.535174369812012
hgt,45,all_seq,matrix,SQLi/case_mixing,0,10,
hgt,45,all_seq,matrix,XSS/data_uri_base64,10,10,
hgt,45,all_seq,matrix,XSS/event_handler_focus,10,10,
hgt,45,all_seq,matrix,XSS/svg_script_variant,10,10,
hgt,45,all_seq,test_split,all,2313,4215,
hgt,45,all_skip,matrix,Benign/field_query,0,10,
hgt,45,all_skip,matrix,Benign/header_field,0,10,
hgt,45,all_skip,matrix,Benign/json_field,0,10,
hgt,45,all_skip,matrix,SQLi/sql_new_commands,10,10,
hgt,45,all_skip,matrix,SQLi/comment_splitting,10,10,8.373756408691406
hgt,45,all_skip,matrix,SQLi/case_mixing,10,10,
hgt,45,all_skip,matrix,XSS/data_uri_base64,0,10,
hgt,45,all_skip,matrix,XSS/event_handler_focus,10,10,
hgt,45,all_skip,matrix,XSS/svg_script_variant,10,10,
hgt,45,all_skip,test_split,all,2645,4215,
hgt,45,all_sem,matrix,Benign/field_query,0,10,
